iter	Passed	Remaining
272	2569	6843
273	2579	6834
274	2586	6818
275	2595	6809
276	2603	6795
277	2613	6786
278	2619	6770
279	2629	6760
280	2635	6744
281	2645	6735
282	2653	6722
283	2662	6712
284	2669	6697
285	2678	6686
286	2685	6671
287	2694	6661
288	2701	6645
289	2709	6634
290	2717	6620
291	2725	6609
292	2733	6595
293	2741	6583
294	2749	6569
295	2757	6558
296	2764	6544
297	2773	6533
298	2781	6521
299	2790	6511
300	2798	6498
301	2807	6488
302	2814	6474
303	2823	6463
304	2831	6451
305	2839	6439
306	2846	6425
307	2854	6412
308	2861	6398
309	2867	6383
310	2876	6373
311	2883	6358
312	2892	6349
313	2899	6334
314	2908	6325
315	2915	6310
316	2925	6302
317	2931	6287
318	2941	6278
319	2947	6264
320	2956	6254
321	2963	6240
322	2972	6230
323	2979	6216
324	2987	6205
325	2994	6191
326	3003	6180
327	3010	6168
328	3019	6158
329	3026	6145
330	3034	6133
331	3042	6121
332	3050	6110
333	3058	6099
334	3067	6088
335	3074	6076
336	3082	6064
337	3090	6052
338	3098	6040
339	3106	6029
340	3112	6015
341	3121	6005
342	3129	5993
343	3137	5984
344	3144	5970
345	3154	5961
346	3160	5948
347	3171	5941
348	3178	5928
349	3187	5920
350	3194	5906
351	3203	5897
352	3210	5884
353	3221	5878
354	3229	5868
355	3237	5857
356	3245	5844
357	3253	5834
358	3260	5821
359	3269	5811
360	3277	5801
361	3286	5792
362	3294	5781
363	3303	5771
364	3310	5759
365	3319	5750
366	3327	5738
367	3335	5728
368	3342	5716
369	3351	5707
370	3358	5694
371	3368	5686
372	3375	5674
373	3384	5664
374	3390	5651
375	3400	5643
376	3407	5630
377	3416	5621
378	3422	5608
379	3432	5599
380	3439	5587
381	3448	5578
382	3455	5566
383	3464	5557
384	3471	5544
385	3480	5535
386	3487	5523
387	3496	5515
388	3504	5505
389	3529	5521
390	3536	5508
391	3546	5500
392	3553	5488
393	3563	5480
394	3570	5469
395	3580	5460
396	3586	5447
397	3597	5441
398	3604	5429
399	3614	5421
400	3622	5411
401	3632	5403
402	3641	5394
403	3648	5382
404	3657	5373
405	3664	5361
406	3673	5351
407	3681	5341
408	3689	5331
409	3698	5322
